releaseId,strategyCandidateId,timeframe,universeMode,authenticatedEligibleInstrumentCount,compatibilityStatus
demo_release_top100_101a9c3a91a1199213edd0454f33d033,v13_7_40_1h_short_rejection_2149_asset_filter_top10,1h,okx_usdt_linear_perpetual_full_market,8,compatible_dynamic_universe
demo_release_top100_169bc383d8b31b9d90d3dc9eaf904f90,v13_7_40_1h_short_rejection_2077_asset_filter_top8,1h,okx_usdt_linear_perpetual_full_market,8,compatible_dynamic_universe
demo_release_top100_1e2b32a9213262e128a96e1c3810a93c,v13_7_20_lf_research_candidate_089,1d,okx_usdt_linear_perpetual_full_market,8,compatible_dynamic_universe
demo_release_top100_2be7d19a5cc6e41587e180a3417674ae,v13_7_40_1h_short_rejection_2021_asset_filter_top10,1h,okx_usdt_linear_perpetual_full_market,8,compatible_dynamic_universe
demo_release_top100_31205f75acf4ea56bb42549c0d02dabc,v13_7_20_lf_research_candidate_115,1d,okx_usdt_linear_perpetual_full_market,8,compatible_dynamic_universe
demo_release_top100_3b97dd6c2bc2054b3a11f8f4a5f7cf07,v13_7_40_1h_short_rejection_2150_asset_filter_top10,1h,okx_usdt_linear_perpetual_full_market,8,compatible_dynamic_universe
demo_release_top100_598f3d38a75d69b6a44e2638d2bef722,v13_7_20_lf_research_candidate_108,1d,okx_usdt_linear_perpetual_full_market,8,compatible_dynamic_universe
demo_release_top100_600814e4c07d7f8edf4b057f0e6137f9,v13_7_20_lf_research_candidate_090,1d,okx_usdt_linear_perpetual_full_market,8,compatible_dynamic_universe
demo_release_top100_9c750252c0095acc11b6393959eb97f5,v13_7_40_1h_short_rejection_2148_asset_filter_top10,1h,okx_usdt_linear_perpetual_full_market,8,compatible_dynamic_universe
demo_release_top100_b8d58642cb97e8faf7ce98a24b86b395,v13_7_20_lf_research_candidate_117,1d,okx_usdt_linear_perpetual_full_market,8,compatible_dynamic_universe
